               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088398,            0.015358,            0.018423,             0.07367,            0.050591,            0.024674,           0.0066673,            0.038978,           0.0099923,           0.0068608,            0.070002,           0.0033331,           0.0033331
                   1,            0.069429,            0.012158,            0.012986,              0.1664,             0.12197,             0.10469,            0.036623,            0.034649,           0.0092423,           0.0063641,            0.039342,           0.0060064,           0.0060064
                   2,            0.063678,            0.011217,            0.010689,             0.19009,             0.15515,             0.12659,            0.046264,            0.033731,           0.0093151,           0.0059819,           0.0080224,           0.0080198,           0.0080198
                   3,            0.059276,            0.010673,           0.0086475,             0.20861,             0.17433,             0.14518,             0.05469,             0.03321,           0.0089915,           0.0063187,             0.00703,             0.00703,             0.00703
                   4,            0.055992,            0.010288,           0.0070124,             0.21468,             0.18833,             0.15361,            0.058612,            0.032905,           0.0088289,           0.0066387,             0.00703,             0.00703,             0.00703
                   5,            0.053223,           0.0098147,           0.0058242,             0.22285,             0.19812,             0.15908,            0.061118,             0.03268,           0.0087604,           0.0068995,             0.00604,             0.00604,             0.00604
                   6,            0.050919,           0.0094395,           0.0049159,             0.21979,             0.20371,             0.16179,            0.062681,            0.032579,           0.0087463,           0.0070858,             0.00505,             0.00505,             0.00505
                   7,            0.048987,           0.0091822,           0.0043712,             0.22149,             0.20952,             0.16441,              0.0642,            0.032457,           0.0087193,           0.0072891,             0.00406,             0.00406,             0.00406
                   8,            0.046974,           0.0088807,           0.0036901,             0.22419,             0.21517,             0.16699,            0.065559,            0.032383,           0.0086955,           0.0075517,             0.00307,             0.00307,             0.00307
                   9,            0.045219,           0.0085918,           0.0031037,             0.23147,             0.21412,             0.16887,            0.066431,            0.032321,           0.0087087,           0.0078235,             0.00208,             0.00208,             0.00208
